areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Super built-up  Area,Ready To Move,Shanti Nagar,4 BHK,HViesar,3000,4.0,,240.0,Bangalore South
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,165.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Duals P,1693,3.0,1.0,125.0,Bangalore East
Plot  Area,18-Jan,Devanahalli,3 Bedroom,Ozdiaan,1200,3.0,1.0,145.0,Bangalore North
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,,1310,2.0,1.0,37.83,Bangalore South
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Redarav,1066,2.0,2.0,52.5,Bangalore North
Super built-up  Area,19-Dec,Thanisandra,3 BHK,DSity S,2293,3.0,2.0,80.26,Bangalore North
Plot  Area,Ready To Move,Vijayanagar,4 Bedroom,,2100,6.0,1.0,252.0,Bangalore South
Super built-up  Area,Ready To Move,sarjapura main road,4 BHK,,2400,4.0,3.0,250.0,Bangalore South
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,,3900,6.0,,195.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Axdam V,1000,2.0,1.0,70.65,Bangalore South
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,MYncysi,907,2.0,2.0,38.0,Bangalore North
Plot  Area,Ready To Move,Ulsoor,4 Bedroom,,3500,4.0,0.0,138.0,Bangalore East
Super built-up  Area,Ready To Move,Varthur,3 BHK,Vaensia,1395,2.0,3.0,79.0,Bangalore South
Plot  Area,Ready To Move,Banaswadi,5 Bedroom,,1903,6.0,2.0,140.0,Bangalore North
Super built-up  Area,18-Mar,Electronic City,2 BHK,,1175,2.0,1.0,47.0,Bangalore South
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1144,2.0,2.0,67.0,Bangalore North
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SLtraks,1143,2.0,1.0,53.0,Bangalore South
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,3.0,1.0,93.0,Bangalore West
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1552,3.0,3.0,75.0,Bangalore North
Built-up  Area,Ready To Move,Bellandur,3 BHK,Krala D,1785,3.0,2.0,120.0,Bangalore South
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,810,2.0,2.0,34.5,Bangalore East
Super built-up  Area,18-May,Banashankari Stage V,3 BHK,Naiewre,1650,3.0,2.0,51.98,Bangalore South
Super built-up  Area,Ready To Move,Akshayanagara East,3 BHK,,1595,3.0,2.0,70.39,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1060,2.0,1.0,35.0,Bangalore East
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1523,2.0,2.0,56.0,Bangalore South
Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1591,3.0,1.0,122.0,Bangalore South
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1640,3.0,3.0,84.0,Bangalore North
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,450,1.0,0.0,16.0,Bangalore North
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Amarere,1305,2.0,2.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1590,3.0,1.0,54.0,Bangalore North
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Frowsru,1240,2.0,3.0,45.0,Bangalore East
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2.0,1.0,41.16,Bangalore East
Super built-up  Area,Ready To Move,Koramangala,2 BHK,K ncy R,1180,2.0,1.0,128.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,33.0,Bangalore South
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,,1567.2,2.0,0.0,190.0,Bangalore South
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,26136,1.0,0.0,150.0,Bangalore North
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,1200,4.0,1.0,140.0,Bangalore South
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1390,2.0,2.0,70.21,Bangalore North
Built-up  Area,Ready To Move,Hulimavu,2 BHK,,132Sq. Yards,2.0,3.0,46.0,Bangalore South
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,,1000,2.0,0.0,58.0,Bangalore East
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,1196,2.0,2.0,57.9,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3.0,2.0,57.0,Bangalore South
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1380,2.0,2.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Elayabh,855,2.0,1.0,32.0,Bangalore South
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Siissi ,922,2.0,1.0,36.0,Bangalore South
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,Gaenty ,1240,2.0,2.0,65.0,Bangalore North
Super built-up  Area,18-Aug,7th Phase JP Nagar,2 BHK,,1070,2.0,2.0,42.0,Bangalore South
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,,1380,2.0,1.0,50.0,Bangalore North
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,Cerasy ,1599,3.0,2.0,80.0,Bangalore North
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,,860,2.0,2.0,65.5,Bangalore South
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,1075,1.0,0.0,19.5,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1050,2.0,1.0,63.5,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PuilaMi,1595,3.0,2.0,88.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1350,2.0,2.0,102.0,Bangalore South
Built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1204,2.0,2.0,45.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,SoineJa,2990,4.0,,240.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2.0,2.0,49.0,Bangalore South
Super built-up  Area,18-Dec,ITPL,2 BHK,,1000,2.0,1.0,29.95,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1457,3.0,3.0,85.0,Bangalore South
Super built-up  Area,18-Mar,Whitefield,3 BHK,Prtates,1655,3.0,3.0,120.0,Bangalore East
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1691.2,3.0,1.0,115.0,Bangalore South
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1215,2.0,1.0,46.1,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,1010 - 1300,2.0,0.0,50.125,Bangalore South
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,PualeSk,1685,3.0,1.0,135.0,Bangalore South
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Jhntspa,1100,2.0,3.0,38.0,Bangalore South
Super built-up  Area,19-Sep,Marathahalli,3 BHK,Vaeva E,2122,3.0,2.0,125.0,Bangalore East
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1050,2.0,2.0,47.0,Bangalore South
Built-up  Area,Ready To Move,Kengeri,2 BHK,Sravema,1230,2.0,2.0,45.0,Bangalore South
Built-up  Area,16-Oct,Electronic City Phase II,3 BHK,Brods W,1252,2.0,3.0,65.0,Bangalore South
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,Maian M,500,1.0,1.0,30.0,Bangalore South
Plot  Area,Ready To Move,Arekere,8 Bedroom,,1200,8.0,2.0,225.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1040,2.0,3.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1350,2.0,2.0,68.0,Bangalore South
Super built-up  Area,18-Apr,Whitefield,4 BHK,Prtates,4003,6.0,3.0,300.0,Bangalore East
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Grterrr,1560,3.0,1.0,90.0,Bangalore South
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1151,2.0,1.0,43.16,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1360,2.0,2.0,47.59,Bangalore South
Super built-up  Area,19-Dec,Chandapura,3 BHK,SuVue S,1110,2.0,2.0,29.97,Bangalore South
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Baesta ,1015,2.0,2.0,50.0,Bangalore North
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Trade E,1351,2.0,2.0,78.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,KHatsFl,960,2.0,2.0,50.0,Bangalore North
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,GModsNR,1680,3.0,2.0,72.0,Bangalore North
Plot  Area,Ready To Move,Arekere,3 Bedroom,Vetanan,2400,3.0,1.0,180.0,Bangalore South
Built-up  Area,18-Mar,Ramamurthy Nagar Extension,3 BHK,SaaceSa,1350,3.0,2.0,48.6,Bangalore East
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Asorai ,1254,2.0,2.0,47.0,Bangalore North
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,3.0,2.0,115.0,Bangalore South
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,ARestco,1051,2.0,3.0,61.0,Bangalore East
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,RaontWa,1099,2.0,2.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,SNontle,2650,4.0,3.0,199.0,Bangalore North
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,RNvasth,1541,2.0,2.0,130.0,Bangalore North
Plot  Area,18-May,Sarjapur  Road,3 Bedroom,Cetattu,1200,3.0,2.0,70.0,Bangalore South
Built-up  Area,Ready To Move,Whitefield,2 BHK,GCngsn ,1125,2.0,2.0,45.0,Bangalore East
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1500,3.0,2.0,74.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4400,5.0,2.0,500.0,Bangalore East
Plot  Area,Ready To Move,Kanakpura Road,1 Bedroom,,2Acres,1.0,0.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Suram S,1180,2.0,2.0,70.0,Bangalore East
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,SLoven ,1010,2.0,1.0,50.0,Bangalore East
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,,1580,3.0,3.0,105.0,Bangalore South
Plot  Area,Ready To Move,BEML Layout 5th Stage,4 Bedroom,,1200,5.0,,325.0,Bangalore West
Super built-up  Area,Ready To Move,Sanjay nagar,3 BHK,,1200,2.0,1.0,76.0,Bangalore North
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Prmesi ,1040,2.0,2.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Inods A,1430,2.0,2.0,90.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1215,2.0,2.0,52.85,Bangalore South
Super built-up  Area,Ready To Move,Domlur,1 BHK,Saiewas,650,1.0,1.0,70.0,Bangalore East
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,105.0,Bangalore North
Built-up  Area,Ready To Move,Hormavu,2 Bedroom,,750,2.0,0.0,58.0,Bangalore South
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1200,2.0,2.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.4,Bangalore South
Super built-up  Area,Ready To Move,Cholanayakanahalli,4 BHK,,2000,4.0,1.0,135.0,Bangalore North
Plot  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,,2400,4.0,2.0,480.0,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,3 BHK,BKideor,1650,3.0,3.0,105.0,Bangalore North
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,,1235,2.0,2.0,148.0,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,2 BHK,JSlipTu,1200,2.0,2.0,55.0,Bangalore North
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,985,2.0,2.0,42.0,Bangalore South
Super built-up  Area,18-May,Ramagondanahalli,3 BHK,ViistLa,1475,2.0,2.0,63.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5.0,0.0,348.0,Bangalore North
Super built-up  Area,19-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,53.99,Bangalore South
Plot  Area,Ready To Move,Gottigere,4 Bedroom,,2500,3.0,2.0,120.0,Bangalore South
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Vaunei ,3800,3.0,3.0,325.0,Bangalore South
Plot  Area,18-May,Kasavanhalli,4 Bedroom,,4260,4.0,2.0,333.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Assha A,875,2.0,2.0,40.0,Bangalore South
Plot  Area,Ready To Move,Konanakunte,3 Bedroom,,2400,2.0,3.0,180.0,Bangalore South
Super built-up  Area,18-Feb,Old Madras Road,4 BHK,Brica E,3630,6.0,1.0,196.0,Bangalore North
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,990,2.0,2.0,37.62,Bangalore North
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2750,4.0,0.0,413.0,Bangalore South
Built-up  Area,Ready To Move,Harlur,2 BHK,Spiteid,1133,2.0,1.0,55.0,Bangalore South
Built-up  Area,Ready To Move,Somasundara Palya,4 BHK,ManceEl,2400,3.0,3.0,140.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1280,2.0,2.0,69.0,Bangalore East
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1250,3.0,2.0,65.0,Bangalore North
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,49.3,Bangalore South
Plot  Area,Ready To Move,Himagiri Meadows,3 Bedroom,Hiowsi ,1240,4.0,1.0,180.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1385,3.0,1.0,55.0,Bangalore South
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,PualeSk,1700,3.0,1.0,79.9,Bangalore South
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1120,2.0,1.0,70.0,Bangalore North
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GMown E,435,1.0,1.0,22.0,Bangalore South
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,Vrenty ,1116,2.0,1.0,51.89,Bangalore South
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1480,3.0,2.0,95.0,Bangalore North
Built-up  Area,Ready To Move,Hormavu,2 BHK,Foisha ,1000,2.0,2.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2.0,2.0,46.0,Bangalore South
Super built-up  Area,18-Apr,Thanisandra,2 BHK,Bhmesy ,1265,2.0,1.0,83.0,Bangalore North
Super built-up  Area,21-Jul,Devanahalli,3 BHK,Oznuean,1450 - 1950,3.0,0.0,88.2,Bangalore North
Built-up  Area,Ready To Move,Anandapura,2 Bedroom,,1200,2.0,0.0,58.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,2023,4.0,2.0,130.0,Bangalore East
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3.0,2.0,166.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1730,3.0,2.0,115.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,935,2.0,1.0,35.53,Bangalore North
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1073,2.0,2.0,31.77,Bangalore South
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,960,2.0,3.0,37.0,Bangalore South
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1125,2.0,1.0,32.49,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,75.0,Bangalore South
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,1200,3.0,,125.0,Bangalore North
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1200,1.0,1.0,103.0,Bangalore East
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3.0,2.0,58.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1400,2.0,2.0,48.0,Bangalore South
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Aincyev,1560,2.0,3.0,72.0,Bangalore East
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,Pantsce,1455,2.0,2.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2280,4.0,2.0,184.0,Bangalore North
Built-up  Area,18-Apr,Frazer Town,3 BHK,,2079,3.0,3.0,220.0,Bangalore North
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1223,2.0,2.0,42.81,Bangalore South
Super built-up  Area,18-Jun,KR Puram,3 BHK,MCnexva,1430,2.0,1.0,61.0,Bangalore East
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,3589,5.0,0.0,400.0,Bangalore East
Super built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1310,2.0,2.0,37.83,Bangalore South
Plot  Area,18-May,Giri Nagar,4 Bedroom,,1120,4.0,2.0,175.0,Bangalore South
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,55.0,Bangalore South
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Reodsnc,1770,3.0,3.0,100.0,Bangalore North
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1350,5.0,1.0,120.0,Bangalore East
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,,1170,2.0,3.0,34.0,Bangalore South
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soena A,1296,2.0,1.0,89.0,Bangalore South
Built-up  Area,Ready To Move,Kempapura,3 BHK,Vaenev ,1570,3.0,2.0,80.0,Bangalore North
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,,900,4.0,0.0,140.0,Bangalore South
Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,1800,3.0,1.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,Bellandur,2 BHK,DSpazTo,1088,2.0,2.0,48.0,Bangalore South
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1533,3.0,1.0,98.18,Bangalore South
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1100,2.0,1.0,68.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Jancyes,1244,3.0,,48.0,Bangalore North
Super built-up  Area,19-Mar,Hosa Road,2 BHK,Skume R,1040,2.0,1.0,68.59,Bangalore South
Built-up  Area,Ready To Move,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,6 BHK,,1034,6.0,2.0,101.0,Bangalore North
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1260,2.0,1.0,39.69,Bangalore South
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,,1350,3.0,0.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,,920,2.0,2.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,DSousyl,1124,2.0,1.0,30.35,Bangalore South
Super built-up  Area,19-Sep,Yelahanka New Town,4 BHK,,2095,3.0,1.0,109.0,Bangalore North
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1100,2.0,1.0,71.42,Bangalore South
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Smentha,1019,2.0,1.0,58.0,Bangalore South
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1756,3.0,2.0,128.0,Bangalore South
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,118.0,Bangalore East
Super built-up  Area,18-Jun,Hosa Road,2 BHK,Sosisic,1369.1,2.0,1.0,98.0,Bangalore South
Plot  Area,Ready To Move,Subramanyapura,3 Bedroom,,600,3.0,1.0,69.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1186,2.0,2.0,55.33,Bangalore North
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1350,2.0,2.0,47.24,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Chtert ,1800,3.0,2.0,140.0,Bangalore North
Super built-up  Area,20-Jan,Binny Pete,3 BHK,She 2rk,1740,3.0,1.0,150.0,Bangalore West
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,,900,2.0,1.0,90.0,Bangalore South
Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1050,2.0,1.0,80.0,Bangalore South
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1220,2.0,2.0,52.0,Bangalore West
Super built-up  Area,18-Apr,Binny Pete,3 BHK,,1970,3.0,2.0,164.0,Bangalore West
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1749,3.0,2.0,120.0,Bangalore South
Super built-up  Area,18-Jun,Subramanyapura,2 BHK,,1260,2.0,1.0,108.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2264,3.0,2.0,168.0,Bangalore North
Super built-up  Area,18-Dec,Chandapura,2 BHK,,674,1.0,1.0,19.9,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,160.0,Bangalore South
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,600,4.0,2.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PSmalsh,1125,2.0,2.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Nagavara,2 BHK,,1125,2.0,2.0,44.5,Bangalore North
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Lancya ,1300,2.0,1.0,75.0,Bangalore South
Super built-up  Area,18-Aug,Magadi Road,3 BHK,Vrenty ,1052,2.0,1.0,60.0,Bangalore South
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Ladenea,1130,2.0,2.0,36.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,63.0,Bangalore South
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,Shmes O,1350,3.0,1.0,47.25,Bangalore North
Super built-up  Area,Ready To Move,Gottigere,3 BHK,MBireap,1230,2.0,2.0,52.0,Bangalore South
Super built-up  Area,18-Apr,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,85.0,Bangalore South
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.25,Bangalore South
Super built-up  Area,20-Oct,Hosa Road,2 BHK,Skume R,1040,2.0,1.0,61.0,Bangalore South
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690,4.0,3.0,201.0,Bangalore East
Super built-up  Area,Ready To Move,Domlur,1 BHK,Saiewas,780,1.0,1.0,70.0,Bangalore East
Super built-up  Area,Ready To Move,Panathur,2 BHK,Saite G,1140,2.0,1.0,51.2,Bangalore East
Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,1225,3.0,1.0,33.08,Bangalore South
Built-up  Area,Ready To Move,Nagavarapalya,1 BHK,MYncysi,646,1.0,0.0,25.84,Bangalore North
Super built-up  Area,18-Apr,Kadugodi,3 BHK,Alestrb,1890,4.0,3.0,125.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,1458,2.0,2.0,62.0,Bangalore East
Plot  Area,Ready To Move,Naganathapura,5 Bedroom,,1200,6.0,0.0,86.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,3 Bedroom,,1808,4.0,0.0,80.0,Bangalore East
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,M ondit,1105,2.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1700,3.0,3.0,150.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Dehts H,1170,2.0,3.0,50.0,Bangalore South
Built-up  Area,Ready To Move,Chandapura,2 BHK,GCbowai,1080,2.0,3.0,45.0,Bangalore South
Super built-up  Area,19-Jul,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2.0,1.0,57.9,Bangalore East
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1656,3.0,2.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1040,2.0,2.0,50.0,Bangalore East
Super built-up  Area,18-Feb,Panathur,2 BHK,,1210,2.0,1.0,77.0,Bangalore East
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,947.55,2.0,1.0,80.0,Bangalore South
Super built-up  Area,18-May,Old Madras Road,3 BHK,Saesttt,1425,2.0,2.0,74.31,Bangalore North
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2.0,1.0,58.0,Bangalore North
Super built-up  Area,18-Jul,Whitefield,1 BHK,Prtates,905,1.0,1.0,60.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,914,2.0,1.0,32.0,Bangalore South
Plot  Area,Ready To Move,CV Raman Nagar,4 Bedroom,,1100,4.0,2.0,220.0,Bangalore East
Plot  Area,Ready To Move,Hormavu,4 Bedroom,Prageta,3500,4.0,1.0,289.0,Bangalore South
Built-up  Area,Ready To Move,Ramagondanahalli,4 Bedroom,,4200,4.0,,800.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,1537,2.0,3.0,70.0,Bangalore East
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1230,2.0,2.0,53.51,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Aimesya,2250,3.0,1.0,200.0,Bangalore South
Built-up  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,,2600,4.0,0.0,325.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,4.0,,200.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,1.0,48.72,Bangalore North
Built-up  Area,18-Apr,Banashankari Stage III,2 BHK,,1304,2.0,0.0,111.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,2100,3.0,2.0,200.0,Bangalore South
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1415,3.0,1.0,65.0,Bangalore South
